Repeat	Transcript	ReadID	polyA
WT_rep1	AT1G12090.1	7c112fbc-3aaf-4137-b650-d25c3cf7043e	TRUE
WT_rep1	AT1G12090.1	7ea07dac-ae4d-4ea2-a293-8d46d5450041	FALSE
WT_rep1	AT1G12090.1	bf8d5bc8-52f0-469b-8a3d-1be26ba8e6ba	TRUE
WT_rep1	AT1G12090.1	74b15964-8b93-4435-913b-4f3c8c3420a7	TRUE
WT_rep1	AT1G12090.1	6bdcb368-8a92-4357-9c65-44944ecabf6b	TRUE
WT_rep1	AT1G12090.1	79fca642-1d64-4cd2-a224-97d01a39a4d6	FALSE
WT_rep1	AT1G12090.1	a8a1fc83-8503-41af-9f29-4db23ad3e076	FALSE
WT_rep1	AT1G12090.1	571cdd25-531b-474d-891e-30169147b140	TRUE
WT_rep1	AT1G12090.1	ef83df74-b0cd-4356-9d53-79016d531b6a	FALSE
WT_rep1	AT1G12090.1	fbead6a1-8968-43e8-9f77-0b7e5723929b	FALSE
WT_rep1	AT1G12090.1	b88dc7f3-3cfe-4257-a854-8057acacc186	FALSE
WT_rep1	AT1G12090.1	10acc9bd-9296-4a8e-a9a7-9589f9f52edb	TRUE
WT_rep1	AT1G12090.1	1ca23484-f8a6-46f9-ba46-bb950f847958	TRUE
WT_rep1	AT1G12090.1	a03f83fd-be8a-49ab-9e96-c630eea1b3a7	TRUE
WT_rep1	AT1G12090.1	07a8b608-bcff-4884-8eef-12837b5e2b30	FALSE
WT_rep1	AT1G12090.1	8c25c564-d706-4267-8109-f1e9b8049ee2	TRUE
WT_rep1	AT1G12090.1	8e50e628-4ab7-40ab-80d5-d4edacc5bdb8	TRUE
WT_rep1	AT1G12090.1	70817289-db62-459d-acd3-3da750e7e9ce	FALSE
WT_rep1	AT1G12090.1	eea1bbc9-c367-4a61-aa24-b470a59e74a9	TRUE
WT_rep1	AT1G12090.1	a19daa1b-9202-47dd-82e4-287d47c42cab	TRUE
WT_rep1	AT1G12090.1	becfa2df-7813-44ca-83db-4f0bfcabbf58	TRUE
WT_rep1	AT1G12090.1	03cf0cb2-cdf6-4921-9a40-e23bf4518a57	TRUE
WT_rep1	AT1G12090.1	8454d19c-4607-4b4a-9f4b-fdb71529fa78	TRUE
WT_rep1	AT1G12090.1	fec5a88c-5aa5-4a11-ab4f-03141b92151f	TRUE
WT_rep1	AT1G12090.1	8efa7f39-674d-4814-aedc-e11e8eda61ea	FALSE
WT_rep1	AT1G12090.1	211ad977-1518-4219-b271-e26f9788e53c	FALSE
WT_rep1	AT1G12090.1	7b399d7b-7153-4002-8085-1084216af130	FALSE
